;TODO
0;100 JAMON DE BELLOTA 100% IBERICO CON CAJA PREMIUM  42,50€/KG
1;100 JAMON DE BELLOTA 100% IBERICO SIN CAJA PREMIUM  38,75€/KG
2;106 JAMON DE BELLOTA IBERICO 50%   27,50€/KG
3;107 JAMON DE BELLOTA IBERICO 50% DESHUESADO   53,75€/KG
4;150 TAQUITOS DE JAMON DE BELLOTA IBERICO 50% RI 150 GM   8,19€/SOBRE
5;115 JAMON DE CEBO DE CAMPO IBERICO 50% RI   18,75€/KG
6;116 JAMON DE CEBO DE CAMPO IBERICO 50% RI DESHUESADO   37,00€/KG
7;157 CAJA 50 MONODOSIS DE 25GM JAMON CEBO IBERICO 50%   1,44€/SOBRE
8;149 HUESO DE JAMON   1,63€/KG
9;124 JAMON DE CEBO IBERICO 50% RAZA IBERICA 7.5-8 KG  15,63€/KG  121,88€/PZA.
10;124 JAMON DE CEBO IBERICO 50% RAZA IBERICA 8-8.5 KG  15,63€/KG  129,69€/PZA.
11;124 JAMON DE CEBO IBERICO 50% RAZA IBERICA 8.5-9 KG  15,63€/KG  137,50€/PZA.
12;124 JAMON DE CEBO IBERICO 50% RAZA IBERICA 9 KG ARRIBA  15,63€/KG  148,44€/PZA.
13;124 JAMON DE CEBO IBERICO 50% RAZA IBERICA .  15,63€/KG
14;125 JAMON DE CEBO IBERICO 50% RI DESHUESADO   30,94€/KG
15;123 TACOS JAMON CEBO IB. 50% RI ALTO REND. PIEZA 0.800 KG   24,85€/PZA  24,94€/PZA.
16;151 TAQUITOS DE JAMON DE CEBO IBERICO 50% RI 150 GM   2,69€/SOBRE
17;145 CENTRO DE JAMON BODEGA   13,13€/KG
18;141 JAMON BODEGA   7,81€/KG
19;142 JAMON BODEGA DESHUESADO   10,63€/KG
20;140 JAMON BODEGA HEMBRA
21;143 JAMON DE PICAR   9,38€/KG
22;136 JAMON GRAN RESERVA   9,88€/KG
23;137 JAMON HUNGARO 6-6.5 KG  8,38€/KG  54,31€/PZA.
